Team,Date,Score
Lithuania,20-07-2015,48.01
Luxembourg,20-07-2015,40.25
Madagascar,20-07-2015,48.71
Malaysia,20-07-2015,43.53
Malta,20-07-2015,48.12
Mauritius,20-07-2015,33.86
Mexico,20-07-2015,43.61
Moldova,20-07-2015,53.69
Monaco,20-07-2015,29.17
Morocco,20-07-2015,45.18
Namibia,20-07-2015,61.28
Netherlands,20-07-2015,51.86
New Zealand,20-07-2015,93.7
Nigeria,20-07-2015,37.03
Niue Island,20-07-2015,34.45
Norway,20-07-2015,32.78
Pakistan,20-07-2015,36.74
Papua New Guinea,20-07-2015,39.27
Paraguay,20-07-2015,50.46
Peru,20-07-2015,38.84
Philippines,20-07-2015,45.12
Poland,20-07-2015,49.84
Portugal,20-07-2015,55.72
Romania,20-07-2015,66.73
Russia,20-07-2015,61.1
Samoa,20-07-2015,75.91
Scotland,20-07-2015,74.79
Senegal,20-07-2015,45.96
Serbia,20-07-2015,36.82
Singapore,20-07-2015,42.92
Slovenia,20-07-2015,38.8
Solomon Islands,20-07-2015,34.35
South Africa,20-07-2015,87
Spain,20-07-2015,61.54
Sri Lanka,20-07-2015,49.79
St Vincent and the Grenadines,20-07-2015,36.84
Swaziland,20-07-2015,32.04
Sweden,20-07-2015,46.05
Switzerland,20-07-2015,49.49
Tahiti,20-07-2015,29.37
Thailand,20-07-2015,37.46
Tonga,20-07-2015,73.46
Trinidad & Tobago,20-07-2015,47.38
Tunisia,20-07-2015,49.11
Uganda,20-07-2015,46.35
Ukraine,20-07-2015,54.07
United Arab Emirates,20-07-2015,34.92
Uruguay,20-07-2015,62.11
USA,20-07-2015,67.09
Uzbekistan,20-07-2015,33.89
Vanuatu,20-07-2015,27.45
Venezuela,20-07-2015,41.65
Wales,20-07-2015,84.07
Zambia,20-07-2015,35.8
Zimbabwe,20-07-2015,56.44
Andorra,20-07-2009,40.37
Arabian Gulf,20-07-2009,49.32
Argentina,20-07-2009,81.3
Australia,20-07-2009,86.07
Austria,20-07-2009,34.01
Bahamas,20-07-2009,36.33
Barbados,20-07-2009,40.96
Belgium,20-07-2009,53.67
Bermuda,20-07-2009,42.26
Bosnia & Herzegovina,20-07-2009,35.43
Botswana,20-07-2009,39.53
Brazil,20-07-2009,54.97
Bulgaria,20-07-2009,35.49
Cameroon,20-07-2009,38.21
Canada,20-07-2009,70.06
Cayman Islands,20-07-2009,42.12
Chile,20-07-2009,57.95
China,20-07-2009,46.12
Chinese Taipei,20-07-2009,45.78
Colombia,20-07-2009,42.03
Cook Islands,20-07-2009,44.61
Cote D'Ivoire,20-07-2009,50.31
Croatia,20-07-2009,48.94
Czech Republic,20-07-2009,51.48
Denmark,20-07-2009,41.62
England,20-07-2009,81.24
Fiji,20-07-2009,76.51
Finland,20-07-2009,30.32
France,20-07-2009,81.49
Georgia,20-07-2009,66.85
Germany,20-07-2009,55.35
Guam,20-07-2009,36.8
Guyana,20-07-2009,41.52
Hong Kong,20-07-2009,52.07
Hungary,20-07-2009,42.12
India,20-07-2009,36.61
Ireland,20-07-2009,83.3
Israel,20-07-2009,37.56
Italy,20-07-2009,71.2
Jamaica,20-07-2009,36.61
Japan,20-07-2009,68.36
Kazakhstan,20-07-2009,55.07
Kenya,20-07-2009,49.88
Korea,20-07-2009,57.88
Latvia,20-07-2009,43.52
Lithuania,20-07-2009,50.79
Luxembourg,20-07-2009,33.52
Madagascar,20-07-2009,47.71
Malaysia,20-07-2009,41.17
Malta,20-07-2009,45.11
Moldova,20-07-2009,49.84
Monaco,20-07-2009,35.92
Morocco,20-07-2009,53.06
Namibia,20-07-2009,56.6
Netherlands,20-07-2009,51.02
New Zealand,20-07-2009,90.96
Nigeria,20-07-2009,35.28
Niue Island,20-07-2009,41.11
Norway,20-07-2009,36.44
Papua New Guinea,20-07-2009,46.19
Paraguay,20-07-2009,50.93
Peru,20-07-2009,40.64
Poland,20-07-2009,54.42
Portugal,20-07-2009,62.15
Romania,20-07-2009,64.83
Russia,20-07-2009,67.16
Samoa,20-07-2009,73.48
Scotland,20-07-2009,75.23
Senegal,20-07-2009,42.12
Serbia,20-07-2009,43.09
Singapore,20-07-2009,45.94
Slovenia,20-07-2009,42.27
Solomon Islands,20-07-2009,39.06
South Africa,20-07-2009,89.46
Spain,20-07-2009,59.01
Sri Lanka,20-07-2009,45.64
St Lucia,20-07-2009,37.57
St Vincent and the Grenadines,20-07-2009,39.3
Swaziland,20-07-2009,36.68
Sweden,20-07-2009,48.03
Switzerland,20-07-2009,43.83
Tahiti,20-07-2009,36.25
Thailand,20-07-2009,40.51
Tonga,20-07-2009,67.52
Trinidad & Tobago,20-07-2009,46.77
Tunisia,20-07-2009,55.28
Uganda,20-07-2009,49.5
Ukraine,20-07-2009,54.17
Uruguay,20-07-2009,61.97
USA,20-07-2009,65.97
Vanuatu,20-07-2009,34.77
Venezuela,20-07-2009,43.92
Wales,20-07-2009,80.74
Zambia,20-07-2009,40.64
Zimbabwe,20-07-2009,44.45
American Samoa,20-02-2017,25.53
Andorra,20-02-2017,40.58
Argentina,20-02-2017,79.91
Australia,20-02-2017,86.35
Austria,20-02-2017,34.87
Bahamas,20-02-2017,33.76
Barbados,20-02-2017,36.94
Belgium,20-02-2017,56.11
Bermuda,20-02-2017,39.22
Bosnia & Herzegovina,20-02-2017,37.3
Botswana,20-02-2017,40.46
Brazil,20-02-2017,51.81
Bulgaria,20-02-2017,29.94
Cameroon,20-02-2017,32.33
Canada,20-02-2017,62.15
Cayman Islands,20-02-2017,42.88
Chile,20-02-2017,53.94
China,20-02-2017,39.58
Chinese Taipei,20-02-2017,40.27
Colombia,20-02-2017,47.97
Cook Islands,20-02-2017,47.11
Cote D'Ivoire,20-02-2017,45.66
Croatia,20-02-2017,44.64
Czech Republic,20-02-2017,52.73
Denmark,20-02-2017,33.94
England,20-02-2017,91.02
Fiji,20-02-2017,76.46
Finland,20-02-2017,28.71
France,20-02-2017,80.99
Georgia,20-02-2017,74.14
Germany,20-02-2017,60.73
Greece,20-02-2017,28.55
Guam,20-02-2017,37.85
Guyana,20-02-2017,45.35
Hong Kong,20-02-2017,56.5
Hungary,20-02-2017,36.81
India,20-02-2017,37.12
Indonesia,20-02-2017,28.73
Ireland,20-02-2017,83.75
Israel,20-02-2017,42.78
Italy,20-02-2017,71.81
Jamaica,20-02-2017,38.76
Japan,20-02-2017,74.22
Kazakhstan,20-02-2017,48.14
Kenya,20-02-2017,59.28
Korea,20-02-2017,55.5
Latvia,20-02-2017,45.63
Lithuania,20-02-2017,47.49
Luxembourg,20-02-2017,40.63
Madagascar,20-02-2017,47.43
Malaysia,20-02-2017,45.55
Malta,20-02-2017,47.67
Mauritius,20-02-2017,33.17
Mexico,20-02-2017,45.62
Moldova,20-02-2017,51.58
Monaco,20-02-2017,29.17
Morocco,20-02-2017,46.48
Namibia,20-02-2017,62.78
Netherlands,20-02-2017,54.93
New Zealand,20-02-2017,94.78
Nigeria,20-02-2017,37.71
Niue Island,20-02-2017,34.45
Norway,20-02-2017,31.9
Pakistan,20-02-2017,36.74
Papua New Guinea,20-02-2017,39.27
Paraguay,20-02-2017,49.46
Peru,20-02-2017,36.82
Philippines,20-02-2017,44.2
Poland,20-02-2017,51.73
Portugal,20-02-2017,57.28
Romania,20-02-2017,67.68
Russia,20-02-2017,63
Rwanda,20-02-2017,30
Samoa,20-02-2017,71.25
Scotland,20-02-2017,80.9
Senegal,20-02-2017,48.79
Serbia,20-02-2017,36.27
Singapore,20-02-2017,42.9
Slovenia,20-02-2017,40.38
Solomon Islands,20-02-2017,30.4
South Africa,20-02-2017,81.79
Spain,20-02-2017,61.12
Sri Lanka,20-02-2017,48.71
St Vincent and the Grenadines,20-02-2017,34.91
Swaziland,20-02-2017,32.04
Sweden,20-02-2017,44.59
Switzerland,20-02-2017,51.84
Tahiti,20-02-2017,31.79
Thailand,20-02-2017,36.76
Tonga,20-02-2017,71.94
Trinidad & Tobago,20-02-2017,46.25
Tunisia,20-02-2017,46.89
Uganda,20-02-2017,47.74
Ukraine,20-02-2017,51.34
United Arab Emirates,20-02-2017,38.49
Uruguay,20-02-2017,60.36
USA,20-02-2017,66.76
Uzbekistan,20-02-2017,31.29
Vanuatu,20-02-2017,27.45
Venezuela,20-02-2017,41.14
Wales,20-02-2017,82.44
Zambia,20-02-2017,35.8
Zimbabwe,20-02-2017,49.99
Andorra,20-08-2012,42.21
Argentina,20-08-2012,79.04
Australia,20-08-2012,86.19
Austria,20-08-2012,36.84
Bahamas,20-08-2012,35.68
Barbados,20-08-2012,41.01
Belgium,20-08-2012,59.17
Bermuda,20-08-2012,47.17
Bosnia & Herzegovina,20-08-2012,36.18
Botswana,20-08-2012,38.65
Brazil,20-08-2012,51.57
Bulgaria,20-08-2012,38.34
Cameroon,20-08-2012,38.33
Canada,20-08-2012,72.3
Cayman Islands,20-08-2012,41.27
Chile,20-08-2012,58.32
China,20-08-2012,40.73
Chinese Taipei,20-08-2012,43.19
Colombia,20-08-2012,39.59
Cook Islands,20-08-2012,44.61
Cote D'Ivoire,20-08-2012,47.67
Croatia,20-08-2012,48.06
Czech Republic,20-08-2012,50.16
Denmark,20-08-2012,42.28
England,20-08-2012,83.09
Fiji,20-08-2012,70.6
Finland,20-08-2012,27.03
France,20-08-2012,83.03
Georgia,20-08-2012,67.95
Germany,20-08-2012,53.33
Guam,20-08-2012,35.7
Guyana,20-08-2012,43.56
Hong Kong,20-08-2012,55.49
Hungary,20-08-2012,36.81
India,20-08-2012,40.81
Ireland,20-08-2012,79.85
Israel,20-08-2012,43.9
Italy,20-08-2012,76.03
Jamaica,20-08-2012,37.08
Japan,20-08-2012,67.93
Kazakhstan,20-08-2012,51.28
Kenya,20-08-2012,50.28
Korea,20-08-2012,56.72
Latvia,20-08-2012,40.16
Lithuania,20-08-2012,50.9
Luxembourg,20-08-2012,32.62
Madagascar,20-08-2012,48.19
Malaysia,20-08-2012,41.37
Malta,20-08-2012,47.97
Mexico,20-08-2012,39.38
Moldova,20-08-2012,51.28
Monaco,20-08-2012,35.17
Morocco,20-08-2012,52.35
Namibia,20-08-2012,59.24
Netherlands,20-08-2012,47.66
New Zealand,20-08-2012,92.29
Nigeria,20-08-2012,35.28
Niue Island,20-08-2012,40.45
Norway,20-08-2012,34.55
Pakistan,20-08-2012,38.38
Papua New Guinea,20-08-2012,46.55
Paraguay,20-08-2012,48.84
Peru,20-08-2012,41.64
Philippines,20-08-2012,44.34
Poland,20-08-2012,55.19
Portugal,20-08-2012,56.58
Romania,20-08-2012,64.54
Russia,20-08-2012,62.05
Samoa,20-08-2012,76.23
Scotland,20-08-2012,77.97
Senegal,20-08-2012,47.14
Serbia,20-08-2012,40.14
Singapore,20-08-2012,41.19
Slovenia,20-08-2012,37.76
Solomon Islands,20-08-2012,40.7
South Africa,20-08-2012,85.08
Spain,20-08-2012,61.63
Sri Lanka,20-08-2012,47.6
St Vincent and the Grenadines,20-08-2012,36.84
Swaziland,20-08-2012,35.63
Sweden,20-08-2012,50.41
Switzerland,20-08-2012,45.88
Tahiti,20-08-2012,36.25
Thailand,20-08-2012,43.44
Tonga,20-08-2012,74.79
Trinidad & Tobago,20-08-2012,44.68
Tunisia,20-08-2012,48.18
Uganda,20-08-2012,48.76
Ukraine,20-08-2012,53.95
Uruguay,20-08-2012,61.13
USA,20-08-2012,66.61
Vanuatu,20-08-2012,33.45
Venezuela,20-08-2012,45.36
Wales,20-08-2012,82.26
Zambia,20-08-2012,38.87
Zimbabwe,20-08-2012,54.7
Andorra,20-08-2007,43.16
Arabian Gulf,20-08-2007,48.46
Argentina,20-08-2007,80.71
Australia,20-08-2007,87
Austria,20-08-2007,36.99
Bahamas,20-08-2007,35.61
Barbados,20-08-2007,43.13
Belgium,20-08-2007,52.37
Bermuda,20-08-2007,41.69
Bosnia & Herzegovina,20-08-2007,29.25
Botswana,20-08-2007,38.64
Brazil,20-08-2007,52.31
Bulgaria,20-08-2007,34.91
Cameroon,20-08-2007,38.26
Canada,20-08-2007,70.81
Cayman Islands,20-08-2007,43.87
Chile,20-08-2007,57.94
China,20-08-2007,48.58
Chinese Taipei,20-08-2007,49.22
Colombia,20-08-2007,41.69
Cook Islands,20-08-2007,45.87
Cote D'Ivoire,20-08-2007,49.99
Croatia,20-08-2007,46.28
Czech Republic,20-08-2007,51.92
Denmark,20-08-2007,44.64
England,20-08-2007,78.83
Fiji,20-08-2007,70.47
Finland,20-08-2007,31.71
France,20-08-2007,86.29
Georgia,20-08-2007,66.12
Germany,20-08-2007,56.65
Guam,20-08-2007,36.8
Guyana,20-08-2007,40.35
Hong Kong,20-08-2007,54.58
Hungary,20-08-2007,41.44
India,20-08-2007,37.54
Ireland,20-08-2007,80.82
Israel,20-08-2007,32.74
Italy,20-08-2007,75.54
Jamaica,20-08-2007,38.97
Japan,20-08-2007,65.76
Kazakhstan,20-08-2007,50.52
Kenya,20-08-2007,50.43
Korea,20-08-2007,57.92
Latvia,20-08-2007,49.43
Lithuania,20-08-2007,44.86
Luxembourg,20-08-2007,38.4
Madagascar,20-08-2007,49.01
Malaysia,20-08-2007,40.61
Malta,20-08-2007,44.89
Moldova,20-08-2007,54.83
Monaco,20-08-2007,38.81
Morocco,20-08-2007,54.14
Namibia,20-08-2007,57.12
Netherlands,20-08-2007,48.4
New Zealand,20-08-2007,93.37
Nigeria,20-08-2007,35.99
Niue Island,20-08-2007,40.96
Norway,20-08-2007,36.9
Papua New Guinea,20-08-2007,45.09
Paraguay,20-08-2007,53.82
Peru,20-08-2007,41.75
Poland,20-08-2007,52.95
Portugal,20-08-2007,62.11
Romania,20-08-2007,66.67
Russia,20-08-2007,64.25
Samoa,20-08-2007,74.85
Scotland,20-08-2007,75.42
Senegal,20-08-2007,41.44
Serbia,20-08-2007,40.33
Singapore,20-08-2007,44.88
Slovenia,20-08-2007,42.42
Solomon Islands,20-08-2007,39.06
South Africa,20-08-2007,84.82
Spain,20-08-2007,62.3
Sri Lanka,20-08-2007,45.85
St Lucia,20-08-2007,37.57
St Vincent and the Grenadines,20-08-2007,39.3
Swaziland,20-08-2007,37.57
Sweden,20-08-2007,49.84
Switzerland,20-08-2007,45.12
Tahiti,20-08-2007,36.25
Thailand,20-08-2007,40
Tonga,20-08-2007,67.46
Trinidad & Tobago,20-08-2007,43.97
Tunisia,20-08-2007,51.58
Uganda,20-08-2007,49.09
Ukraine,20-08-2007,50.8
Uruguay,20-08-2007,62.31
USA,20-08-2007,67.75
Vanuatu,20-08-2007,34.77
Venezuela,20-08-2007,43.4
Wales,20-08-2007,76.86
Zambia,20-08-2007,40.64
Zimbabwe,20-08-2007,44.45
American Samoa,20-04-2015,24
Andorra,20-04-2015,41.7
Argentina,20-04-2015,78.23
Australia,20-04-2015,82.95
Austria,20-04-2015,36.15
Bahamas,20-04-2015,34.55
Barbados,20-04-2015,37.39
Belgium,20-04-2015,56.47
Bermuda,20-04-2015,40.03
Bosnia & Herzegovina,20-04-2015,34.66
Botswana,20-04-2015,39.64
Brazil,20-04-2015,51.31
Bulgaria,20-04-2015,33.31
Cameroon,20-04-2015,32.33
Canada,20-04-2015,66.83
Cayman Islands,20-04-2015,42.87
Chile,20-04-2015,54.54
China,20-04-2015,41.47
Chinese Taipei,20-04-2015,42.62
Colombia,20-04-2015,46.37
Cook Islands,20-04-2015,47.11
Cote D'Ivoire,20-04-2015,46.54
Croatia,20-04-2015,44.83
Czech Republic,20-04-2015,52.07
Denmark,20-04-2015,37.56
England,20-04-2015,85.4
Fiji,20-04-2015,74.57
Finland,20-04-2015,30.29
France,20-04-2015,79.74
Georgia,20-04-2015,72.16
Germany,20-04-2015,54.78
Greece,20-04-2015,28.55
Guam,20-04-2015,34.95
Guyana,20-04-2015,44.88
Hong Kong,20-04-2015,55.79
Hungary,20-04-2015,39.21
India,20-04-2015,39.07
Indonesia,20-04-2015,30
Ireland,20-04-2015,85.76
Israel,20-04-2015,43.2
Italy,20-04-2015,71.85
Jamaica,20-04-2015,36.99
Japan,20-04-2015,74.7
Kazakhstan,20-04-2015,48.91
Kenya,20-04-2015,53.25
Korea,20-04-2015,57.22
Latvia,20-04-2015,43.1
Lithuania,20-04-2015,47.65
Luxembourg,20-04-2015,39.94
Madagascar,20-04-2015,47.69
Malaysia,20-04-2015,42.22
Malta,20-04-2015,49.57
Mauritius,20-04-2015,33.86
Mexico,20-04-2015,44.01
Moldova,20-04-2015,53.69
Monaco,20-04-2015,29.17
Morocco,20-04-2015,51.18
Namibia,20-04-2015,58.27
Netherlands,20-04-2015,52.29
New Zealand,20-04-2015,93.7
Nigeria,20-04-2015,38.05
Niue Island,20-04-2015,34.45
Norway,20-04-2015,31.82
Pakistan,20-04-2015,36.74
Papua New Guinea,20-04-2015,45.27
Paraguay,20-04-2015,49.74
Peru,20-04-2015,38.84
Philippines,20-04-2015,45.57
Poland,20-04-2015,51
Portugal,20-04-2015,57.4
Romania,20-04-2015,66.23
Russia,20-04-2015,64.65
Samoa,20-04-2015,75.39
Scotland,20-04-2015,74.79
Senegal,20-04-2015,49.22
Serbia,20-04-2015,35.29
Singapore,20-04-2015,44.54
Slovenia,20-04-2015,37.66
Solomon Islands,20-04-2015,40.35
South Africa,20-04-2015,88.23
Spain,20-04-2015,62.59
Sri Lanka,20-04-2015,46.95
St Vincent and the Grenadines,20-04-2015,36.84
Swaziland,20-04-2015,32.04
Sweden,20-04-2015,46.2
Switzerland,20-04-2015,48.04
Tahiti,20-04-2015,35.37
Thailand,20-04-2015,41.35
Tonga,20-04-2015,74.12
Trinidad & Tobago,20-04-2015,46.98
Tunisia,20-04-2015,49.89
Uganda,20-04-2015,44.68
Ukraine,20-04-2015,52.33
United Arab Emirates,20-04-2015,30
Uruguay,20-04-2015,63.58
USA,20-04-2015,67.61
Uzbekistan,20-04-2015,31.94
Vanuatu,20-04-2015,27.45
Venezuela,20-04-2015,41.65
Wales,20-04-2015,84.07
Zambia,20-04-2015,34.77
Zimbabwe,20-04-2015,55.83
Andorra,20-04-2009,40.37
Arabian Gulf,20-04-2009,49.32
Argentina,20-04-2009,81.58
Australia,20-04-2009,85.87
Austria,20-04-2009,35.17
Bahamas,20-04-2009,36.33
Barbados,20-04-2009,40.96
Belgium,20-04-2009,54.46
Bermuda,20-04-2009,42.26
Bosnia & Herzegovina,20-04-2009,35.43
Botswana,20-04-2009,39.53
Brazil,20-04-2009,55
Bulgaria,20-04-2009,35.05
Cameroon,20-04-2009,38.97
Canada,20-04-2009,69.11
Cayman Islands,20-04-2009,42.12
Chile,20-04-2009,56.84
China,20-04-2009,48.68
Chinese Taipei,20-04-2009,45.78
Colombia,20-04-2009,42.03
Cook Islands,20-04-2009,44.03
Cote D'Ivoire,20-04-2009,50.09
Croatia,20-04-2009,47.89
Czech Republic,20-04-2009,51.48
Denmark,20-04-2009,40.47
England,20-04-2009,80.96
Fiji,20-04-2009,75.24
Finland,20-04-2009,30.98
France,20-04-2009,79.95
Georgia,20-04-2009,70.38
Germany,20-04-2009,55.73
Guam,20-04-2009,36.8
Guyana,20-04-2009,41.52
Hong Kong,20-04-2009,53.18
Hungary,20-04-2009,42.12
India,20-04-2009,37.23
Ireland,20-04-2009,83.3
Israel,20-04-2009,36.03
Italy,20-04-2009,71.2
Jamaica,20-04-2009,36.61
Japan,20-04-2009,68.03
Kazakhstan,20-04-2009,52.25
Kenya,20-04-2009,50.62
Korea,20-04-2009,59
Latvia,20-04-2009,43.81
Lithuania,20-04-2009,49.66
Luxembourg,20-04-2009,33.52
Madagascar,20-04-2009,47.71
Malaysia,20-04-2009,37.99
Malta,20-04-2009,46.44
Moldova,20-04-2009,51.81
Monaco,20-04-2009,35.92
Morocco,20-04-2009,52.25
Namibia,20-04-2009,56.82
Netherlands,20-04-2009,50.6
New Zealand,20-04-2009,92.7
Nigeria,20-04-2009,35.28
Niue Island,20-04-2009,42.36
Norway,20-04-2009,36.44
Papua New Guinea,20-04-2009,45.52
Paraguay,20-04-2009,52.4
Peru,20-04-2009,40.64
Poland,20-04-2009,52.49
Portugal,20-04-2009,62.15
Romania,20-04-2009,64.24
Russia,20-04-2009,66.17
Samoa,20-04-2009,72.56
Scotland,20-04-2009,75.23
Senegal,20-04-2009,41.44
Serbia,20-04-2009,43.17
Singapore,20-04-2009,46.53
Slovenia,20-04-2009,43.72
Solomon Islands,20-04-2009,39.06
South Africa,20-04-2009,89.46
Spain,20-04-2009,59.01
Sri Lanka,20-04-2009,45.64
St Lucia,20-04-2009,37.57
St Vincent and the Grenadines,20-04-2009,39.3
Swaziland,20-04-2009,36.68
Sweden,20-04-2009,48.79
Switzerland,20-04-2009,43.83
Tahiti,20-04-2009,36.25
Thailand,20-04-2009,40.51
Tonga,20-04-2009,70.04
Trinidad & Tobago,20-04-2009,46.77
Tunisia,20-04-2009,53.36
Uganda,20-04-2009,51.42
Ukraine,20-04-2009,53.35
Uruguay,20-04-2009,62.78
USA,20-04-2009,63.54
Vanuatu,20-04-2009,34.77
Venezuela,20-04-2009,43.92
Wales,20-04-2009,80.59
Zambia,20-04-2009,40.64
Zimbabwe,20-04-2009,44.45
American Samoa,19-09-2016,25.53
Andorra,19-09-2016,42.32
Argentina,19-09-2016,80.93
Australia,19-09-2016,85.53
Austria,19-09-2016,33.7
Bahamas,19-09-2016,33.76
Barbados,19-09-2016,36.94
Belgium,19-09-2016,57.94
Bermuda,19-09-2016,39.22
Bosnia & Herzegovina,19-09-2016,38.48
Botswana,19-09-2016,40.46
Brazil,19-09-2016,50.75
Bulgaria,19-09-2016,29.94
Cameroon,19-09-2016,32.33
Canada,19-09-2016,64.53
Cayman Islands,19-09-2016,42.88
Chile,19-09-2016,55.73
China,19-09-2016,39.58
Chinese Taipei,19-09-2016,40.27
Colombia,19-09-2016,46.51
Cook Islands,19-09-2016,47.11
Cote D'Ivoire,19-09-2016,45.66
Croatia,19-09-2016,45.35
Czech Republic,19-09-2016,52.51
Denmark,19-09-2016,33.27
England,19-09-2016,89.49
Fiji,19-09-2016,75.49
Finland,19-09-2016,29.3
France,19-09-2016,80.75
Georgia,19-09-2016,75.23
Germany,19-09-2016,57.71
Greece,19-09-2016,28.55
Guam,19-09-2016,37.85
Guyana,19-09-2016,46.61
Hong Kong,19-09-2016,57.84
Hungary,19-09-2016,36.42
India,19-09-2016,37.12
Indonesia,19-09-2016,28.73
Ireland,19-09-2016,81.67
Israel,19-09-2016,41.67
Italy,19-09-2016,72.23
Jamaica,19-09-2016,38.76
Japan,19-09-2016,74.95
Kazakhstan,19-09-2016,48.14
Kenya,19-09-2016,59.28
Korea,19-09-2016,54.85
Latvia,19-09-2016,45.83
Lithuania,19-09-2016,47.09
Luxembourg,19-09-2016,42.99
Madagascar,19-09-2016,47.43
Malaysia,19-09-2016,45.55
Malta,19-09-2016,46.32
Mauritius,19-09-2016,33.17
Mexico,19-09-2016,45.21
Moldova,19-09-2016,52.32
Monaco,19-09-2016,29.17
Morocco,19-09-2016,45.18
Namibia,19-09-2016,62.78
Netherlands,19-09-2016,51.52
New Zealand,19-09-2016,96.3
Nigeria,19-09-2016,37.71
Niue Island,19-09-2016,34.45
Norway,19-09-2016,32.37
Pakistan,19-09-2016,36.74
Papua New Guinea,19-09-2016,39.27
Paraguay,19-09-2016,48.77
Peru,19-09-2016,39.24
Philippines,19-09-2016,44.2
Poland,19-09-2016,49.94
Portugal,19-09-2016,54.29
Romania,19-09-2016,68.74
Russia,19-09-2016,61.91
Samoa,19-09-2016,71.37
Scotland,19-09-2016,80.44
Senegal,19-09-2016,47.24
Serbia,19-09-2016,36.89
Singapore,19-09-2016,42.9
Slovenia,19-09-2016,39.76
Solomon Islands,19-09-2016,30.4
South Africa,19-09-2016,84.3
Spain,19-09-2016,58.79
Sri Lanka,19-09-2016,48.71
St Vincent and the Grenadines,19-09-2016,34.91
Swaziland,19-09-2016,32.04
Sweden,19-09-2016,42.65
Switzerland,19-09-2016,52.53
Tahiti,19-09-2016,31.79
Thailand,19-09-2016,36.76
Tonga,19-09-2016,69.47
Trinidad & Tobago,19-09-2016,46.25
Tunisia,19-09-2016,49.74
Uganda,19-09-2016,47.74
Ukraine,19-09-2016,56.95
United Arab Emirates,19-09-2016,38.49
Uruguay,19-09-2016,63.56
USA,19-09-2016,65.6
Uzbekistan,19-09-2016,31.29
Vanuatu,19-09-2016,27.45
Venezuela,19-09-2016,40.02
Wales,19-09-2016,82.49
Zambia,19-09-2016,35.8
Zimbabwe,19-09-2016,49.99
Andorra,19-09-2011,42.83
Argentina,19-09-2011,77.3
Australia,19-09-2011,84.84
Austria,19-09-2011,37.76
Bahamas,19-09-2011,36.33
Barbados,19-09-2011,39.13
Belgium,19-09-2011,56.5
Bermuda,19-09-2011,45.94
Bosnia & Herzegovina,19-09-2011,36.18
Botswana,19-09-2011,36.68
Brazil,19-09-2011,54.04
Bulgaria,19-09-2011,37.12
Cameroon,19-09-2011,38.33
Canada,19-09-2011,73.74
Cayman Islands,19-09-2011,41.23
Chile,19-09-2011,59.52
China,19-09-2011,41.78
Chinese Taipei,19-09-2011,43.62
Colombia,19-09-2011,39.59
Cook Islands,19-09-2011,44.61
Cote D'Ivoire,19-09-2011,47.52
Croatia,19-09-2011,45.56
Czech Republic,19-09-2011,53.78
Denmark,19-09-2011,40.6
England,19-09-2011,83.99
Fiji,19-09-2011,71.01
Finland,19-09-2011,27.7
France,19-09-2011,83.78
Georgia,19-09-2011,70
Germany,19-09-2011,51.81
Guam,19-09-2011,36.24
Guyana,19-09-2011,42.54
Hong Kong,19-09-2011,54.34
Hungary,19-09-2011,40.1
India,19-09-2011,39.19
Ireland,19-09-2011,82.5
Israel,19-09-2011,41.05
Italy,19-09-2011,73.88
Jamaica,19-09-2011,36.35
Japan,19-09-2011,71.95
Kazakhstan,19-09-2011,53.62
Kenya,19-09-2011,49.18
Korea,19-09-2011,53.36
Latvia,19-09-2011,42.69
Lithuania,19-09-2011,51.49
Luxembourg,19-09-2011,32.49
Madagascar,19-09-2011,44.31
Malaysia,19-09-2011,41.75
Malta,19-09-2011,45.23
Moldova,19-09-2011,54.09
Monaco,19-09-2011,35.17
Morocco,19-09-2011,56.13
Namibia,19-09-2011,61.24
Netherlands,19-09-2011,47.71
New Zealand,19-09-2011,90.55
Nigeria,19-09-2011,35.28
Niue Island,19-09-2011,41.11
Norway,19-09-2011,35.02
Papua New Guinea,19-09-2011,46.19
Paraguay,19-09-2011,48.84
Peru,19-09-2011,41.64
Poland,19-09-2011,52.88
Portugal,19-09-2011,60.67
Romania,19-09-2011,65.69
Russia,19-09-2011,60.54
Samoa,19-09-2011,73.59
Scotland,19-09-2011,79.12
Senegal,19-09-2011,45.24
Serbia,19-09-2011,40.81
Singapore,19-09-2011,45.67
Slovenia,19-09-2011,40.2
Solomon Islands,19-09-2011,39.06
South Africa,19-09-2011,86.71
Spain,19-09-2011,59.43
Sri Lanka,19-09-2011,47.03
St Vincent and the Grenadines,19-09-2011,39.3
Swaziland,19-09-2011,36.68
Sweden,19-09-2011,50.99
Switzerland,19-09-2011,44.22
Tahiti,19-09-2011,36.25
Thailand,19-09-2011,41.46
Tonga,19-09-2011,70.3
Trinidad & Tobago,19-09-2011,45.85
Tunisia,19-09-2011,52.35
Uganda,19-09-2011,47.69
Ukraine,19-09-2011,53.22
Uruguay,19-09-2011,60
USA,19-09-2011,66.38
Vanuatu,19-09-2011,34.77
Venezuela,19-09-2011,45.36
Wales,19-09-2011,80.73
Zambia,19-09-2011,39.94
Zimbabwe,19-09-2011,52.4
Andorra,19-09-2005,44.64
Arabian Gulf,19-09-2005,47.53
Argentina,19-09-2005,74.23
Australia,19-09-2005,84.85
Austria,19-09-2005,42.71
Bahamas,19-09-2005,36.14
Barbados,19-09-2005,42.61
Belgium,19-09-2005,50.42
Bermuda,19-09-2005,41.69
